index,entry_date,exit_date,strike,entry_spot,exit_spot,entry_vix,exit_vix,weekly_premium,monthly_premium,net_debit,lots,total_cost,pnl,pnl_pct,exit_reason,days_held,capital_after,year
NIFTY,2024-11-19,2024-11-27,23500,23518.5,24274.900390625,11.962035452439709,15.173497168445257,155.83940575543113,322.61822010060496,166.77881434517383,1,8338.94071725869,2030.9073059619777,24.354499867815463,EXPIRY,5,51648.49706644022,2024
NIFTY,2024-12-10,2024-12-17,24600,24610.05078125,24336.0,14.591605439605374,14.27411289548185,198.9198699692076,411.80325400382884,212.88338403462123,1,10644.169201731062,-4124.338599515146,-38.74739795421896,EXPIRY,5,47524.15846692507,2024
NIFTY,2024-12-31,2025-01-06,23650,23644.80078125,23616.05078125,10.903470647477825,13.48811099768068,142.81143962120544,295.64776788808194,152.8363282668765,1,7641.816413343825,3585.631490136339,46.921193812969086,TARGET,4,51109.78995706141,2025
NIFTY,2025-01-20,2025-01-27,23350,23344.75,22829.150390625,12.536680571260714,13.628387882087885,162.11916823868847,335.61856353224334,173.49939529355487,1,8674.969764677744,-2835.5160180693274,-32.68617753130187,EXPIRY,5,48274.27393899208,2025
NIFTY,2025-01-29,2025-02-04,23150,23163.099609375,23739.25,14.224094641952911,13.097400133371018,182.50883259600607,377.8291789508491,195.32034635484302,1,9766.017317742151,-1012.5253648160907,-10.367843224859046,EXPIRY,5,47261.74857417599,2025
NIFTY,2025-02-17,2025-02-24,22950,22959.5,22553.349609375,11.56191733734013,10.998929528743515,147.04655865699925,304.41529724703145,157.3687385900322,1,7868.4369295016095,-3212.5817867677542,-40.82871624378948,EXPIRY,5,44049.166787408234,2025
NIFTY,2025-03-10,2025-03-18,22450,22460.30078125,22834.30078125,10.750741294724296,11.38536878811252,133.75701189501123,276.9033216878786,143.14630979286736,1,7157.315489643368,161.89213695536608,2.2619114274007335,EXPIRY,5,44211.0589243636,2025
NIFTY,2025-04-01,2025-04-08,23150,23165.69921875,22535.849609375,11.959795465866538,18.523457870039532,153.47291599120436,317.7191208521177,164.24620486091337,1,8212.310243045667,-377.40071819925305,-4.595548719300306,VIX_SPIKE,5,43833.65820616434,2025
NIFTY,2025-06-24,2025-07-01,25050,25044.349609375,25541.80078125,9.593227316066733,10.164044821747304,133.08744029660423,275.51717678915514,142.42973649255092,1,7121.4868246275455,187.3342784097801,2.630550094706911,EXPIRY,5,44020.99248457412,2025
NIFTY,2025-07-14,2025-07-21,25100,25082.30078125,25090.69921875,8.848415182643688,7.892824773715098,122.94063242961616,254.51128885033756,131.5706564207214,1,6578.53282103607,855.3071750387048,13.001488300000611,EXPIRY,5,44876.29965961282,2025
NIFTY,2025-07-23,2025-07-25,25200,25219.900390625,24837.0,7.640327075786914,6.84178086773527,106.7377138767748,220.9680606879023,114.23034681112749,1,5711.517340556375,-2993.858956623648,-52.417926412738645,STOP_LOSS,2,41882.44070298917,2025
NIFTY,2025-08-12,2025-08-20,24500,24487.400390625,25050.55078125,8.888590706226687,9.739506483017873,120.56969718289352,249.60298657875506,129.03328939586154,1,6451.664469793077,417.1767472703479,6.466187899627829,EXPIRY,5,42299.617450259524,2025
NIFTY,2025-09-03,2025-09-10,24700,24715.05078125,24973.099609375,9.889828664854384,8.681252058217185,135.39818852440337,280.3008800941018,144.90269156969842,1,7245.134578484921,-1141.5627114647962,-15.756266486129455,EXPIRY,5,41158.05473879473,2025
NIFTY,2025-09-23,2025-09-25,25150,25169.5,24890.849609375,7.765739711431223,6.629993507155482,108.2729568817405,224.14631565674654,115.87335877500604,1,5793.667938750302,-3154.4248660327953,-54.446076291925124,STOP_LOSS,2,38003.629872761936,2025
NIFTY,2025-10-14,2025-10-21,25150,25145.5,25868.599609375,7.987232491904428,8.494559673496815,111.25490848125828,230.3195419521058,119.06463347084751,1,5953.231673542376,233.24012626547486,3.917874174157396,EXPIRY,5,38236.86999902741,2025
NIFTY,2025-11-04,2025-11-12,25600,25597.650390625,25875.80078125,7.835033293051853,8.035388867641633,111.09730618423941,229.9932742003679,118.89596801612848,1,5944.798400806424,-91.1053595842688,-1.5325222731171197,EXPIRY,5,38145.76463944314,2025
NIFTY,2025-11-25,2025-12-02,25900,25884.80078125,26032.19921875,7.117052730819619,7.769899210929069,102.04872653102217,211.2609346614143,109.21220813039213,1,5460.610406519607,2132.0544115993416,39.04425060344554,TARGET,5,40277.81905104248,2025
NIFTY,2025-12-15,2025-12-22,26050,26027.30078125,26172.400390625,8.287420885567288,8.468459350246857,119.48437208166007,247.3561501596022,127.87177807794214,1,6393.588903897107,1926.2697190276142,30.12814473970149,TARGET,5,42204.0887700701,2025
NIFTY,2025-12-24,2026-01-01,26150,26142.099609375,26146.55078125,7.138960303264054,7.566656244033425,103.38035311807228,214.0176635982979,110.63731048022562,1,5531.865524011281,1894.672233248925,34.250149882079114,TARGET,5,44098.76100331902,2026
NIFTY,2026-01-05,2026-01-12,26250,26250.30078125,25790.25,7.750093912032957,7.849776238138357,112.69478730483004,233.3003743094256,120.60558700459555,1,6030.279350229777,-2230.5661534197325,-36.98943322310167,EXPIRY,5,41868.194849899286,2026
NIFTY,2026-01-14,2026-01-22,25650,25665.599609375,25289.900390625,7.608843191477669,8.361458993080259,108.17642576587933,223.94647726136452,115.77005149548519,1,5788.502574774259,-1819.629858952184,-31.435243147026604,EXPIRY,5,40048.5649909471,2026
NIFTY,2026-01-27,2026-02-03,25200,25175.400390625,25727.55078125,9.138536185852821,13.352459272140168,127.44288705168442,263.8318414125753,136.38895436089086,1,6819.447718044543,2851.943540580007,41.82074060093818,TARGET,5,42900.50853152711,2026
NIFTY,2026-02-16,2026-02-23,25700,25682.75,25713.0,14.201257570125122,13.705820000791977,202.03699842200896,418.25632297180186,216.2193245497929,1,10810.966227489645,2417.9954217913332,22.366136115039946,EXPIRY,5,45318.503953318446,2026
NIFTY,2026-02-25,2026-03-05,25500,25482.5,24765.900390625,14.159730169134685,13.440784455549847,199.87551207931713,413.7816211255604,213.90610904624324,1,10695.305452312163,-4447.654955728548,-41.58511391338555,EXPIRY,5,40870.8489975899,2026
NIFTY,2026-05-13,2026-05-20,23400,23412.599609375,23659.0,14.667282705752156,13.284374210014827,190.22249782078066,393.7979830745903,203.57548525380966,1,10178.774262690484,-1330.333817770439,-13.069685832867673,EXPIRY,5,39540.51517981946,2026
NIFTY,2026-06-03,2026-06-10,23400,23405.599609375,23214.94921875,13.516506261538256,10.29982061984651,175.2454699925644,362.79258981789815,187.54711982533374,1,9377.355991266686,-401.7168686384437,-4.283903362659692,EXPIRY,5,39138.79831118101,2026
NIFTY,2026-06-23,2026-07-01,23800,23824.099609375,24005.849609375,12.687319525936477,11.579350608583015,167.43604341397037,346.6255408575965,179.18949744362612,1,8959.474872181307,1474.9680745196756,16.462662104219667,EXPIRY,5,40613.766385700685,2026
NIFTY,2026-07-14,2026-07-21,24050,24052.05078125,24187.69921875,12.075966100395647,12.224338074266136,160.89278765767997,333.07971452744266,172.1869268697627,1,8609.346343488134,2489.757003811499,28.919233870695432,EXPIRY,5,43103.523389512186,2026
NIFTY,2026-08-03,2026-08-10,24750,24774.30078125,24583.80078125,13.291912281639293,10.392322781897088,182.41117953182035,377.62701790177266,195.2158383699523,1,9760.791918497616,-170.54831494426708,-1.7472794868320267,EXPIRY,5,42932.97507456792,2026
NIFTY,2026-08-12,2026-08-19,24450,24435.94921875,24078.30078125,10.260498562192922,9.344275031958203,138.8865713967268,287.52251872807227,148.63594733134548,1,7431.7973665672735,-3208.9106035193963,-43.17812293907555,EXPIRY,5,39724.06447104852,2026
BANKNIFTY,2022-11-14,2022-11-21,42100,42076.26171875,42346.05859375,12.939978443632036,10.639753221581666,301.60134903691863,624.3741108647096,322.77276182779093,1,4841.591427416864,232.21375352862026,4.796227790177523,EXPIRY,5,39956.278224577145,2022
BANKNIFTY,2022-11-23,2022-11-30,42700,42728.60546875,43230.49609375,8.461393831637597,7.519534702722269,200.27337088092597,414.6052670949748,214.33189621404884,1,3214.9784432107326,-469.4137011056681,-14.600835103481263,EXPIRY,5,39486.86452347148,2022
BANKNIFTY,2022-12-13,2022-12-15,43900,43946.0390625,43497.6953125,6.532700243867481,8.16681502203378,159.02853104069465,329.2203366719697,170.19180563127503,2,5105.754168938251,1711.7714446345192,33.52631928596133,TARGET,2,41198.635968106,2022
BANKNIFTY,2023-05-09,2023-05-16,43200,43198.1484375,43903.69921875,13.471771758802426,12.300133666886955,322.36837339389183,667.3659357010226,344.9975623071308,1,5174.963434606962,-613.9489947515136,-11.86383251803871,EXPIRY,5,40584.68697335449,2023
BANKNIFTY,2023-05-29,2023-06-05,44300,44311.8984375,44101.6484375,12.318947045801847,7.7491100955544985,302.3824101104571,625.9910609044852,323.60865079402805,1,4854.129761910421,-1005.5907569139794,-20.7161902593682,EXPIRY,5,39579.09621644051,2023
BANKNIFTY,2023-06-07,2023-06-14,44300,44275.30078125,43988.0,7.655578521939802,7.068687482765651,187.75958412700976,388.6992673274784,200.93968320046866,1,3014.09524800703,487.4701024397504,16.17301585814429,EXPIRY,5,40066.56631888026,2023
BANKNIFTY,2023-06-27,2023-07-05,44100,44121.5,45151.80078125,9.452541844769458,9.862130280334611,231.02631793122146,478.26991591803875,247.2435979868173,1,3708.6539698022593,52.285234002038976,1.4098169963488603,EXPIRY,5,40118.8515528823,2023
BANKNIFTY,2023-07-18,2023-07-25,45400,45410.8515625,45845.0,9.007872590647317,9.779943617183807,226.5919411650988,469.0898838676912,242.49794270259238,1,3637.4691405388858,1411.6726470513968,38.80919926766058,TARGET,5,41530.524199933694,2023
BANKNIFTY,2023-08-07,2023-08-14,44800,44837.5,44090.94921875,10.859464427956341,10.010937249579897,269.7195185804156,558.372451364235,288.6529327838194,1,4329.79399175729,-1844.4676058498167,-42.59943104362849,EXPIRY,5,39686.05659408388,2023
BANKNIFTY,2023-08-28,2023-09-04,44500,44494.6484375,44578.30078125,9.64616597888514,8.376545833295,237.7524983032966,492.1944321801195,254.44193387682293,1,3816.629008152344,388.4844476572286,10.178732248469089,EXPIRY,5,40074.541041741104,2023
BANKNIFTY,2023-09-06,2023-09-13,44400,44409.1015625,45909.44921875,8.332970617881195,8.99410029800206,204.99082188261465,424.37131848742615,219.3804966048115,1,3290.7074490721725,196.76118774206046,5.979297485029793,EXPIRY,5,40271.30222948317,2023
BANKNIFTY,2023-09-27,2023-10-05,44600,44588.30078125,44213.3515625,11.684626793649059,11.945166227883746,288.60134238708696,597.4615402838984,308.8601978968115,1,4632.902968452172,1314.6028243371936,28.37535845859503,EXPIRY,5,41585.90505382036,2023
BANKNIFTY,2023-10-09,2023-10-16,43900,43886.5,44225.8984375,11.858594868614473,11.441660987566845,288.28812803843584,596.8131249798105,308.52499694137464,1,4627.87495412062,1070.5519043062168,23.132688651256807,EXPIRY,5,42656.456958126575,2023
